username, created_at, lng, lat, text
jorgeamaranter, Wed Apr 22 06:23:15 +0000 2020, -70.250000, 19.300000, Donald Trump dio a conocer una recomendación de las autoridades sanitarias de su país para combatir la propagación… https://t.co/1zljZ8dxP5
John_Di_Lemme, Wed Apr 22 06:23:37 +0000 2020, -80.122619, 26.721896, @JesseKellyDC ...😁😁Bernie Dropped Out...so Who is Running Against Trump?...😁😷😷https://t.co/ohLBPelXim
Elah_Avahati, Wed Apr 22 06:23:38 +0000 2020, -73.968542, 40.780709, Lmfao. When attempting to virtue signal goes horribly wrong. @BretBaier @BillHemmer @SandraSmithFox… https://t.co/JE1O6ipgjW
clarperonhighst, Wed Apr 22 06:23:48 +0000 2020, -70.525171, 43.377360, https://t.co/523VQq4NV0
RayThom08326811, Wed Apr 22 06:24:10 +0000 2020, -86.680738, 32.576227, Mr president Trump the way I have been treated has swayed my voting a lot I'm sorry and I hope you win without my v… https://t.co/lT1FD8Ycke
DavefromFlint, Wed Apr 22 06:24:20 +0000 2020, -83.725610, 42.994459, @DrascillasD @realCDHilton @JFNYC1 Nothing whatsoever to do with Trump MORON
hemmo76, Wed Apr 22 06:24:41 +0000 2020, -2.165534, 52.943455, Loving the trump tik toks
Seminole_Lady, Wed Apr 22 06:24:56 +0000 2020, -83.804475, 27.698682, This freaking idiot can't remember what day of the week it is much less what he would do if he were president he's… https://t.co/ih9mnQLVjw
WJC_Otter, Wed Apr 22 06:25:02 +0000 2020, -77.604684, 41.117936, Coronavirus is perfect for prisons. Tight areas. Kills inmates. Frees up space. Jail more people. Swear to God, i… https://t.co/dvkfIojZhO
VanceKosloff, Wed Apr 22 06:25:05 +0000 2020, -80.846785, 35.209059, @DineshDSouza I am beginning to think that the democrats along with the drive by media purposely created this prese… https://t.co/qjaXor96fO
TAG273, Wed Apr 22 06:25:07 +0000 2020, 174.856244, -36.595729, @NZSilentRage @gaugeist @Strange_G You unblocked me? Realising your Trump love is wrong and your small business mod… https://t.co/fsAQkjL4eD
PamelaAlston27, Wed Apr 22 06:25:17 +0000 2020, -88.346470, 17.192219, @CNN I think these people that have walked away or been thrown out of the WH need to come together and form a new g… https://t.co/boixPTHddi
KPrudhv96009424, Wed Apr 22 06:25:25 +0000 2020, 80.093303, 17.187562, @EricTrump @realDonaldTrump Yes, he has capability and did it again, Bcoz Mr Donald Trump United States of America… https://t.co/21CbyIpgQ9
Zgola25, Wed Apr 22 06:25:33 +0000 2020, 29.095333, -15.306759, Love to see it 🤣🤣🤣
akoz33, Wed Apr 22 06:25:35 +0000 2020, 21.105897, 52.083784, @Iulian68 You are right, but the question (as I understood it) was why so few are people mention this difference. N… https://t.co/14hcA6TRJj
Revivian58, Wed Apr 22 06:25:44 +0000 2020, -118.113076, 33.844650, Precisely!
NewsScrollngr, Wed Apr 22 06:26:03 +0000 2020, 3.905296, 7.429075, Trump immigration ban targets ‘green card’ applicantshttps://t.co/v2dcIqlwRn
maryinsouthie, Wed Apr 22 06:26:08 +0000 2020, -93.588078, 45.312947, @SW7805 @LBC @NickFerrariLBC https://t.co/v2aAeAK90z
